Company,Career Page URL,
ABB,https://global.abb/group/en/careers,None
Accenture,https://www.accenture.com/us-en/careers,
Adobe,https://www.adobe.com/careers.html,
Airbnb,https://careers.airbnb.com/,
Amazon,https://www.amazon.jobs/,
Analog Devices,https://www.analog.com/en/about-adi/careers.html,
Anthropic,https://www.anthropic.com/careers,
Apple,https://jobs.apple.com/,
Aptiv,https://www.aptiv.com/careers,
Arista Networks,https://www.arista.com/en/company/careers,
ARM,https://www.arm.com/company/careers,
Atlassian,https://www.atlassian.com/company/careers,
Bloomberg,https://www.bloomberg.com/careers/,
Boeing,https://jobs.boeing.com/,
Bosch,https://www.bosch.us/careers/,
Boston Dynamics,https://www.bostondynamics.com/careers,
Broadcom,https://www.broadcom.com/company/careers,
Canva,https://www.canva.com/careers/,
Capgemini,https://www.capgemini.com/careers/,
Cisco Systems,https://jobs.cisco.com/,
Cognizant Technology Solutions,https://careers.cognizant.com/,
Continental,https://www.continental.com/en/career/,
Cummins,https://www.cummins.com/careers,
Databricks,https://www.databricks.com/company/careers,
Deloitte,https://www2.deloitte.com/us/en/careers,
DJI,https://www.dji.com/careers,
Dropbox,https://www.dropbox.com/jobs,
Elastic,https://www.elastic.co/about/careers,
Electronic Arts,https://www.ea.com/careers,
Epic Games,https://www.epicgames.com/site/en-US/careers,
Ericsson,https://www.ericsson.com/en/careers,
Ernst & Young (EY),https://www.ey.com/en_gl/careers,
Figma,https://www.figma.com/careers/,
Ford Motor Company,https://corporate.ford.com/careers.html,
GE Aerospace,https://jobs.gecareers.com/global/en,
General Motors,https://search-careers.gm.com/,
Google,https://careers.google.com/jobs/results/,
Gusto,https://gusto.com/careers,
HCL Technologies,https://www.hcltech.com/careers,
Hitachi,https://www.hitachi.com/careers/,
Honeywell,https://careers.honeywell.com/us/en,
IBM,https://www.ibm.com/employment/,
Infosys,https://www.infosys.com/careers,
Intel,https://jobs.intel.com/,
iRobot,https://www.irobot.com/en_us/careers,
John Deere,https://www.deere.com/en/careers/,
Juniper Networks,https://careers.juniper.net/,
LinkedIn,https://careers.linkedin.com/,
Lockheed Martin,https://www.lockheedmartinjobs.com/,
Lucid Motors,https://www.lucidmotors.com/careers,
Lumen Technologies,https://www.lumen.com/en-us/about/careers.html,
Lyft,https://www.lyft.com/careers,
Magna International,https://careers.magna.com/,
Meta,https://www.metacareers.com/jobs,
Micron Technology,https://www.micron.com/careers,
Microsoft,https://careers.microsoft.com/,
MongoDB,https://www.mongodb.com/careers,
Nokia,https://www.nokia.com/about-us/careers/,
Northrop Grumman,https://www.northropgrumman.com/careers/,
Nvidia,https://www.nvidia.com/en-us/about-nvidia/careers/,
OpenAI,https://openai.com/careers,
Oracle,https://www.oracle.com/corporate/careers/,
PACCAR,https://www.paccar.com/careers/,
Palantir Technologies,https://www.palantir.com/careers/,
Pinterest,https://www.pinterestcareers.com/,
Qualcomm,https://www.qualcomm.com/company/careers,
Raytheon Technologies,https://www.rtx.com/Careers,
Red Hat,https://www.redhat.com/en/jobs,
Redfin,https://www.redfin.com/about/jobs,
Rivian,https://careers.rivian.com/,
Roblox,https://corp.roblox.com/careers/,
Salesforce,https://www.salesforce.com/company/careers/,
Samsung Semiconductor,https://semiconductor.samsung.com/us/careers/,
SAP,https://www.sap.com/about/careers.html,
Scale AI,https://scale.com/careers,
Seagate Technology,https://jobs.seagate.com/,
Siemens,https://new.siemens.com/global/en/company/jobs.html,
Snap Inc.,https://www.snap.com/en-US/jobs,
Snowflake,https://www.snowflake.com/careers/,
Spotify,https://www.lifeatspotify.com/,
Square (Block),https://squareup.com/us/en/careers,
Stripe,https://stripe.com/jobs,
Tata Consultancy Services (TCS),https://www.tcs.com/careers/,
Tesla,https://www.tesla.com/careers,
Texas Instruments,https://careers.ti.com/,
TikTok,https://careers.tiktok.com/,
Twilio,https://www.twilio.com/company/jobs,
Uber,https://www.uber.com/global/en/careers/,
Unity Technologies,https://careers.unity.com/,
VMware,https://careers.vmware.com/,
VMware,https://careers.vmware.com/,
Wayfair,https://www.aboutwayfair.com/careers,
Western Digital,https://careers.westerndigital.com/,
Wipro,https://careers.wipro.com/,
ZF Group,https://www.zf.com/mobile/en/careers/careers.html,
Zillow,https://www.zillowgroup.com/careers/,
Zoom Video Communications,https://careers.zoom.us/home,
AGCO Corporation ,https://careers.agcocorp.com/,
Trimble Inc. ,https://www.trimble.com/en/our-company/careers,
Collins Aerospace (Raytheon) , https://www.rtx.com/Careers,
GE Aerospace , https://jobs.gecareers.com/global/en,
Boeing , https://jobs.boeing.com/,
Northrop Grumman , https://www.northropgrumman.com/careers/,
L3Harris Technologies , https://careers.l3harris.com/,
Valeo , https://www.valeo.com/en/careers,
Denso , https://densocareers.com/,
ZF Group , https://www.zf.com/mobile/en/careers/careers.html,
Espressif Systems , https://www.espressif.com/en/careers,
Nordic Semiconductor , https://www.nordicsemi.com/About,
Silicon Labs , https://www.silabs.com/about,
Dialog Semiconductor (Renesas) , https://www.dialog,
NXP Semiconductors , https://www.nxp.com/company/about,
Medtronic , https://jobs.medtronic.com/,
Philips Healthcare , https://www.careers.philips.com/,
Boston Scientific , https://jobs.bostonscientific.com/,
Stryker , https://careers.stryker.com/,
Rockwell Automation , https://www.rockwellautomation.com/en,
Emerson Electric , https://www.emerson.com/en,
Schneider Electric , https://www.se.com/us/en/about,
Mitsubishi Electric , https://www.mitsubishielectric.com/en/about/careers/,
Altera (Intel FPGA) , https://jobs.intel.com/,
Xilinx (Now AMD) , https://www.amd.com/en/corporate/careers,
STMicroelectronics , https://www.st.com/content/st_com/en/about/careers.html,
Infineon Technologies , https://www.infineon.com/cms/en/careers/,
Alten Technology,https://job-boards.greenhouse.io/altentechnologyusa,
Rockwell Automation,https://jobs.rockwellautomation.com/,
Ler Techforce,https://www.lertechforce.com/apply-now,
Panasonic Corporation Of North America,https://careers.na.panasonic.com/,
Varian Medical Systems,https://www.varian.com/about-varian/careers,
Ge Precision Healthcare,https://careers.gehealthcare.com/global/en/science-and-technology-jobs,
Technosoft Engineering,https://www.technosofteng.com/careers,
Magic Leap,https://job-boards.greenhouse.io/magicleap,
Mercedes-benz Research Development North America,https://www.mbrdna.com/careers,
Teklabs,https://teklabsinc.com/careers/,
Ardoritsolutions,https://www.ardoritsolutions.com/careers/,
